Order_ID,Order_Date,Product,Category,Region,Sales,Quantity,Profit,Customer_Type
ORD1052,2024-01-05,Monitor,Electronics,East,24531.73,2,2311.68,New
ORD1075,2024-01-13,Office Chair,Furniture,East,32318.62,3,4528.99,New
ORD1028,2024-01-15,Monitor,Electronics,West,103185.72,5,14277.36,Returning
ORD1018,2024-01-23,Backpack,Accessories,West,3364.93,2,968.92,New
ORD1085,2024-01-27,Smartphone,Electronics,North,174690.24,4,11055.5,Returning
ORD1069,2024-01-28,Wallet,Accessories,North,3106.23,2,1058.48,Returning
ORD1086,2024-02-03,Sofa,Furniture,North,32548.02,2,3618.04,Returning
ORD1037,2024-02-04,Monitor,Electronics,West,38557.8,4,4342.73,Returning
ORD1005,2024-02-04,Jacket,Clothing,South,8787.55,4,1632.96,New
ORD1009,2024-02-11,Wallet,Accessories,South,1248.8,2,274.17,Returning
ORD1060,2024-02-22,Jeans,Clothing,North,1443.55,1,365.96,Returning
ORD1050,2024-03-05,Wrist Watch,Accessories,South,22659.29,4,5123.8,Returning
ORD1089,2024-03-07,Smartphone,Electronics,West,139177.46,5,10892.06,New
ORD1084,2024-03-14,Wrist Watch,Accessories,West,5584.93,1,1219.42,Returning
ORD1059,2024-03-15,Wrist Watch,Accessories,East,26893.87,3,6884.11,New
ORD1051,2024-03-16,Jacket,Clothing,South,6220.79,1,1562.47,New
ORD1026,2024-03-17,Wallet,Accessories,North,2347.8,5,546.26,Returning
ORD1036,2024-03-17,Jeans,Clothing,South,6776.53,3,1944.52,Returning
ORD1029,2024-03-18,Monitor,Electronics,South,31009.91,2,3988.05,Returning
ORD1076,2024-04-01,Sunglasses,Accessories,South,7032.07,2,1784.81,New
ORD1074,2024-04-02,Sunglasses,Accessories,East,13371.51,4,2792.15,Returning
ORD1016,2024-04-06,Monitor,Electronics,North,11215.18,1,791.18,Returning
ORD1048,2024-04-21,Laptop,Electronics,North,146792.38,2,20318.47,Returning
ORD1039,2024-04-27,Backpack,Accessories,West,8154.2,4,2701.84,Returning
ORD1071,2024-04-28,Bookshelf,Furniture,West,7981.92,2,1418.66,Returning
ORD1068,2024-05-01,Smartphone,Electronics,East,70400.21,2,7793.41,Returning
ORD1044,2024-05-03,Wallet,Accessories,North,785.32,1,177.28,Returning
ORD1033,2024-05-05,Headphones,Electronics,North,20132.96,3,1420.75,Returning
ORD1022,2024-05-15,Sofa,Furniture,North,93894.83,3,17534.77,New
ORD1077,2024-05-16,Monitor,Electronics,West,36749.45,4,4314.79,New
ORD1072,2024-06-02,Backpack,Accessories,West,8890.72,3,1913.88,Returning
ORD1002,2024-06-11,Smartphone,Electronics,West,209915.81,5,24345.32,Returning
ORD1047,2024-06-13,Laptop,Electronics,North,195543.72,3,21588.21,Returning
ORD1011,2024-06-16,Wrist Watch,Accessories,South,37521.81,5,13940.17,New
ORD1034,2024-06-25,Headphones,Electronics,East,12652.8,5,1729.77,Returning
ORD1041,2024-06-25,Headphones,Electronics,West,5911.93,1,360.53,New
ORD1082,2024-06-26,Monitor,Electronics,South,25029.79,2,1813.04,Returning
ORD1070,2024-06-27,Bookshelf,Furniture,South,24698.46,3,4865.14,Returning
ORD1057,2024-07-02,Backpack,Accessories,South,1044.48,1,271.71,Returning
ORD1038,2024-07-03,Bookshelf,Furniture,South,45501.29,5,5781.1,New
ORD1088,2024-07-12,Study Table,Furniture,West,27990.67,3,4006.38,New
ORD1010,2024-07-16,Formal Shirt,Clothing,North,4061.93,4,1252.06,Returning
ORD1090,2024-07-20,Sofa,Furniture,West,75045.4,4,7860.06,New
ORD1015,2024-07-21,T-Shirt,Clothing,West,1362.02,1,304.34,Returning
